1440	59
1800	71
1920	55
1920	59
1920	64
1920	71
2160	55
2160	59
2160	64
2400	55
2400	59
2400	64
2640	55
2640	59
2640	64
2880	55
2880	59
2880	64
3120	55
3120	59
3120	64
3360	55
3360	59
3360	64
3370	72
3600	55
3600	59
3600	64
3840	54
3840	57
3840	64
3850	71
4080	54
4080	57
4080	64
4320	54
4320	57
4320	64
4560	54
4560	57
4560	64
4800	54
4800	57
4800	63
5040	54
5040	57
5040	63
5280	54
5280	57
5280	63
5290	72
5520	54
5520	57
5520	63
5760	53
5760	57
5760	63
5770	71
6000	53
6000	57
6000	63
6240	53
6240	57
6240	63
6480	53
6480	57
6480	63
6720	53
6720	57
6720	62
6960	53
6960	57
6960	62
7200	53
7200	56
7200	62
7200	72
7440	53
7440	56
7440	62
7680	52
7680	56
7680	62
7680	71
7920	52
7920	56
7920	62
8160	52
8160	56
8160	62
8400	52
8400	56
8400	62
8640	52
8640	55
8640	62
8880	52
8880	55
8880	62
9120	52
9120	55
9120	61
9125	70
9360	52
9360	55
9360	61
9600	52
9600	55
9600	60
9605	69
9840	52
9840	55
9840	60
10080	52
10080	55
10080	60
10320	52
10320	55
10320	60
10560	52
10560	54
10560	60
10800	52
10800	54
10800	60
11040	52
11040	54
11040	60
11045	71
11280	52
11280	54
11280	60
11520	52
11520	54
11520	60
11525	69
11760	52
11760	54
11760	60
12000	52
12000	54
12000	60
12240	52
12240	54
12240	60
12480	51
12480	54
12480	60
12720	51
12720	54
12720	60
12960	51
12960	54
12960	60
12965	71
13200	54
13200	51
13200	60
13440	50
13440	54
13440	60
13445	69
13680	50
13680	54
13680	60
13920	50
13920	54
13920	60
14160	50
14160	54
14160	60
14400	50
14400	54
14400	60
14640	50
14640	54
14640	60
14880	50
14880	54
14880	60
14880	71
15120	50
15120	54
15120	60
15240	69
15360	50
15360	53
15360	60
15370	69
15600	50
15600	53
15600	60
15840	50
15840	53
15840	60
16080	50
16080	53
16080	60
16320	50
16320	53
16320	59
16560	50
16560	53
16560	59
16800	50
16800	53
16800	59
16800	68
17040	50
17040	53
17040	59
17280	48
17280	52
17280	59
17520	48
17520	59
17520	52
17760	48
17760	57
17760	52
17760	69
18000	48
18000	57
18000	52
18000	71
18240	48
18240	52
18240	57
18240	74
18480	48
18480	57
18480	52
18480	72
18720	48
18720	52
18720	57
18720	64
18960	48
18960	52
18960	57
18960	69
19200	47
19200	52
19200	57
19200	66
19440	47
19440	57
19440	52
19680	47
19680	57
19680	51
19920	47
19920	51
19920	57
20160	48
20160	57
20160	52
20400	48
20400	52
20400	57
20640	48
20640	52
20640	57
20640	69
20880	48
20880	52
20880	57
21120	47
21120	51
21120	57
21120	66
21360	47
21360	51
21360	57
21600	47
21600	51
21600	57
21840	47
21840	51
21840	57
22080	48
22080	52
22080	57
22320	48
22320	52
22320	57
22500	71
22560	48
22560	52
22560	57
22560	69
22800	48
22800	52
22800	57
23040	47
23040	51
23040	57
23040	67
23280	66
23520	60
23760	59
24000	63
24240	66
24480	74
24640	72
24800	71
24960	55
24960	59
24960	64
24960	71
25200	55
25200	59
25200	64
25440	55
25440	59
25440	64
25680	55
25680	59
25680	64
25920	55
25920	59
25920	64
26160	55
26160	59
26160	64
26400	55
26400	59
26400	64
26410	72
26640	55
26640	59
26640	64
26880	54
26880	57
26880	64
26890	71
27120	54
27120	57
27120	64
27360	54
27360	57
27360	64
27600	54
27600	57
27600	64
27840	53
27840	57
27840	63
28080	53
28080	57
28080	63
28320	53
28320	57
28320	63
28325	72
28560	53
28560	57
28560	63
28800	53
28800	56
28800	63
28805	71
29040	53
29040	56
29040	63
29280	53
29280	56
29280	62
29520	53
29520	56
29520	62
29760	52
29760	56
29760	62
30000	52
30000	56
30000	62
30240	52
30240	56
30240	62
30240	72
30480	52
30480	56
30480	62
30720	52
30720	55
30720	62
